Date,Open Price $,High Price $,Low Price $,Close Price $,Volume,Adjusted Close Price $
2021-07-14,148.10000610351562,149.57000732421875,147.67999267578125,147.67999267578125,126871000.0,149.14999389648438
2021-07-13,144.02999877929688,147.4600067138672,143.6300048828125,143.6300048828125,100698900.0,145.63999938964844
2021-07-12,146.2100067138672,146.32000732421875,144.0,144.0,76299700.0,144.5
2021-07-09,142.75,145.64999389648438,142.64999389648438,142.64999389648438,99788400.0,145.11000061035156
2021-07-08,141.5800018310547,144.05999755859375,140.6699981689453,140.6699981689453,105575500.0,143.24000549316406
2021-07-07,143.5399932861328,144.88999938964844,142.66000366210938,142.66000366210938,104911600.0,144.57000732421875
2021-07-06,140.07000732421875,143.14999389648438,140.07000732421875,140.07000732421875,108181800.0,142.02000427246094
2021-07-02,137.89999389648438,140.0,137.75,137.75,78852600.0,139.9600067138672
2021-07-01,136.60000610351562,137.3300018310547,135.75999450683594,135.75999450683594,52485800.0,137.27000427246094
2021-06-30,136.1699981689453,137.41000366210938,135.8699951171875,135.8699951171875,63261400.0,136.9600067138672
2021-06-29,134.8000030517578,136.49000549316406,134.35000610351562,134.35000610351562,64556100.0,136.3300018310547
2021-06-28,133.41000366210938,135.25,133.35000610351562,133.35000610351562,62111300.0,134.77999877929688
2021-06-25,133.4600067138672,133.88999938964844,132.80999755859375,132.80999755859375,70783700.0,133.11000061035156
2021-06-24,134.4499969482422,134.63999938964844,132.92999267578125,132.92999267578125,68711000.0,133.41000366210938
2021-06-23,133.77000427246094,134.32000732421875,133.22999572753906,133.22999572753906,60214200.0,133.6999969482422
2021-06-22,132.1300048828125,134.0800018310547,131.6199951171875,131.6199951171875,74783600.0,133.97999572753906
2021-06-21,130.3000030517578,132.41000366210938,129.2100067138672,129.2100067138672,79663300.0,132.3000030517578
2021-06-18,130.7100067138672,131.50999450683594,130.24000549316406,130.24000549316406,108953300.0,130.4600067138672
2021-06-17,129.8000030517578,132.5500030517578,129.64999389648438,129.64999389648438,96721700.0,131.7899932861328
2021-06-16,130.3699951171875,130.88999938964844,128.4600067138672,128.4600067138672,91815000.0,130.14999389648438
2021-06-15,129.94000244140625,130.60000610351562,129.38999938964844,129.38999938964844,62746300.0,129.63999938964844
2021-06-14,127.81999969482422,130.5399932861328,127.06999969482422,127.06999969482422,96906500.0,130.47999572753906
2021-06-11,126.52999877929688,127.44000244140625,126.0999984741211,126.0999984741211,53522400.0,127.3499984741211
2021-06-10,127.0199966430664,128.19000244140625,125.94000244140625,125.94000244140625,71186400.0,126.11000061035156
2021-06-09,127.20999908447266,127.75,126.5199966430664,126.5199966430664,56877900.0,127.12999725341797
2021-06-08,126.5999984741211,128.4600067138672,126.20999908447266,126.20999908447266,74403800.0,126.73999786376953
2021-06-07,126.16999816894531,126.31999969482422,124.83000183105469,124.83000183105469,71057600.0,125.9000015258789
2021-06-04,124.06999969482422,126.16000366210938,123.8499984741211,123.8499984741211,75169300.0,125.88999938964844
2021-06-03,124.68000030517578,124.8499984741211,123.12999725341797,123.12999725341797,76229200.0,123.54000091552734
2021-06-02,124.27999877929688,125.23999786376953,124.05000305175781,124.05000305175781,59278900.0,125.05999755859375
2021-06-01,125.08000183105469,125.3499984741211,123.94000244140625,123.94000244140625,67637100.0,124.27999877929688
2021-05-28,125.56999969482422,125.80000305175781,124.55000305175781,124.55000305175781,71311100.0,124.61000061035156
2021-05-27,126.44000244140625,127.63999938964844,125.08000183105469,125.08000183105469,94625600.0,125.27999877929688
2021-05-26,126.95999908447266,127.38999938964844,126.41999816894531,126.41999816894531,56575900.0,126.8499984741211
2021-05-25,127.81999969482422,128.32000732421875,126.31999969482422,126.31999969482422,72009500.0,126.9000015258789
2021-05-24,126.01000213623047,127.94000244140625,125.94000244140625,125.94000244140625,63092900.0,127.0999984741211
2021-05-21,127.81999969482422,128.0,125.20999908447266,125.20999908447266,79295400.0,125.43000030517578
2021-05-20,125.2300033569336,127.72000122070312,125.0999984741211,125.0999984741211,76857100.0,127.30999755859375
2021-05-19,123.16000366210938,124.91999816894531,122.86000061035156,122.86000061035156,92612000.0,124.69000244140625
2021-05-18,126.55999755859375,126.98999786376953,124.77999877929688,124.77999877929688,63342900.0,124.8499984741211
2021-05-17,126.81999969482422,126.93000030517578,125.16999816894531,125.16999816894531,74244600.0,126.2699966430664
2021-05-14,126.25,127.88999938964844,125.8499984741211,125.8499984741211,81918000.0,127.44999694824219
2021-05-13,124.58000183105469,126.1500015258789,124.26000213623047,124.26000213623047,105861300.0,124.97000122070312
2021-05-12,123.4000015258789,124.63999938964844,122.25,122.25,112172300.0,122.7699966430664
2021-05-11,123.5,126.2699966430664,122.7699966430664,122.7699966430664,126142800.0,125.91000366210938
2021-05-10,129.41000366210938,129.5399932861328,126.80999755859375,126.80999755859375,88071200.0,126.8499984741211
2021-05-07,130.85000610351562,131.25999450683594,129.47999572753906,129.47999572753906,78973300.0,130.2100067138672
2021-05-06,127.88999938964844,129.75,127.12999725341797,127.12999725341797,78128300.0,129.52000427246094
2021-05-05,129.1999969482422,130.4499969482422,127.97000122070312,127.97000122070312,84000900.0,127.8827896118164
2021-05-04,131.19000244140625,131.49000549316406,126.69999694824219,126.69999694824219,137564700.0,127.6332015991211
2021-05-03,132.0399932861328,134.07000732421875,131.8300018310547,131.8300018310547,75135100.0,132.31524658203125
2021-04-30,131.77999877929688,133.55999755859375,131.07000732421875,131.07000732421875,109839500.0,131.23709106445312
2021-04-29,136.47000122070312,137.07000732421875,132.4499969482422,132.4499969482422,151101000.0,133.253662109375
2021-04-28,134.30999755859375,135.02000427246094,133.0800018310547,133.0800018310547,107760100.0,133.35348510742188
2021-04-27,135.00999450683594,135.41000366210938,134.11000061035156,134.11000061035156,66015800.0,134.162109375
2021-04-26,134.8300018310547,135.05999755859375,133.55999755859375,133.55999755859375,66905100.0,134.49156188964844
2021-04-23,132.16000366210938,135.1199951171875,132.16000366210938,132.16000366210938,78657500.0,134.0922393798828
2021-04-22,133.0399932861328,134.14999389648438,131.41000366210938,131.41000366210938,84566500.0,131.71627807617188
2021-04-21,132.36000061035156,133.75,131.3000030517578,131.3000030517578,68847100.0,133.27362060546875
2021-04-20,135.02000427246094,135.52999877929688,131.80999755859375,131.80999755859375,94812300.0,132.88429260253906
2021-04-19,133.50999450683594,135.47000122070312,133.33999633789062,133.33999633789062,94264200.0,134.61134338378906
2021-04-16,134.3000030517578,134.6699981689453,133.27999877929688,133.27999877929688,84922400.0,133.93251037597656
2021-04-15,133.82000732421875,135.0,133.63999938964844,133.63999938964844,89347100.0,134.2719268798828
